n. intervista,clip_n,intervistato,VIDEO CHE DEVONO ESSERCI IL 15/6,Check website,top,estero,tema,data_intervista,nome_file,starter_id,clip_id,status,combinazione_colori,cover_titolo,check_length,sottopancia,parola_chiave_1,check_length,minutaggio_1,parola_chiave_2,check_length,minutaggio_2,parola_chiave_3,minutaggio_3,tags,srt_starter,srt_clip,thumb
14,3,Roberto Cingolani,x,MN,,,la tecnologia,25-Nov,,0xUsKEeKON4,Gqfw4scujQ4,approvato dall'intervistato,Magenta/ciano,Qualità della vita,18,Direttore Scientifico IIT,imbattibili,11,0'18'',politica tecnologica,20,0'35'',,,tecnologico;Made in Italy;qualità della vita;materiali;sostenibile;intelligenza artificiale,,,img/thumbs/
15,1,Paola Antonelli,x,EB,,,il design,30-Nov,,rWMb1kIpqT4,Nd_ymFpJWh0,approvato dall'intervistato,Blu/verde,Design biologico,16,Curatrice MoMA New York,Bio-couture,11,0'48'',,,,,,design;tecnologico;digitale;scienza;moda;materiali;bio;cultura;arte,,,img/thumbs/pantonelli-thumb.png
15,2,Paola Antonelli,x,EB,,,il design,30-Nov,,xnps2cS-oCc,dQqdojeJUuU,approvato dall'intervistato,Rosso/giallo,Museo flessibile,16,Curatrice MoMA New York,Dimensione virtuale,19,0'14'',Cambiare marcia,15,0'38'',,,Made in Italy;design;digitale;bio;cultura;arte,,,img/thumbs/pantonelli-thumb.png
15,3,Paola Antonelli,x,EB,,,il design,30-Nov,,9KQK6MvnVSk,kVkZF_THViE,approvato dall'intervistato,Magenta/ciano,Adeguarsi al presente,21,Curatrice MoMA New York,Nuove piattaforme,17,0'10'',primato italiano,16,0'40'',,,arte;digitale;diverso;tecnologico;cultura,,,img/thumbs/pantonelli-thumb.png
16,1,"Claudia De Lillo ""Elasti""",x,EB,,,i figli e i genitori,30-Nov,,NFCejtgFM8o,VnFp5gd61iU,approvato dall'intervistato,Blu/verde,Mamme elastiche,15,Blogger Nonsolomamma,Salti mortali,13,0'16'',A misura di famiglia,20,0'39'',rivoluzione,1'21'',genitori e figli;femminile;qualità della vita;lavoro,,,img/thumbs/
16,2,"Claudia De Lillo ""Elasti""",x,EB,,,i figli e i genitori,30-Nov,,nNkuLhWH6TI,0DFjjVh6_TU,approvato dall'intervistato,Rosso/giallo,Papà migliori,13,Blogger Nonsolomamma,Accorgersi delle cose,21,0'26'',Coinvolgimento condiviso,24,0'50'',,,genitori e figli;femminile;diverso,,,img/thumbs/
16,3,"Claudia De Lillo ""Elasti""",x,EB,,,i figli e i genitori,30-Nov,,KA3mm_hyNx4,TiKAV0vhrUQ,approvato dall'intervistato,Magenta/ciano,Girl power,10,Blogger Nonsolomamma,Sognarsi onnipotenti,20,0'19'',Mediazione,10,1'00'',,,femminile;lavoro;istituzioni,,,img/thumbs/
17,1,Raffaele Cantone,x,MN,,,l'etica,1-Dec,,8t-8ri4dw9U,NH-tXI7lLEw,approvato dall'intervistato,Blu/verde,La fine dei furbi,17,Autorità anticorruzione,Educazione fiscale,18,0'48'',,,,,,istituzioni;valori;legalità,,,img/thumbs/
17,2,Raffaele Cantone,x,EB,,,l'etica,1-Dec,,c9UAU9HN7EU,IpSijkwvOiI,approvato dall'intervistato,Rosso/giallo,Trasparente,11,Autorità anticorruzione,controllo diffuso,17,0'14'',circolo virtuoso,16,1'07'',,,istituzioni;digitale;tecnologico;cittadini;legalità,,,img/thumbs/
17,3,Raffaele Cantone,x,MN,,,l'etica,1-Dec,,n4SfsTpZDjk,kjLZ5OZBo48,approvato dall'intervistato,Magenta/ciano,Pubblico meritocratico,22,Autorità anticorruzione,A chi merita,12,0'46'',,,,,,istituzioni;legalità,,,img/thumbs/
18,1,Maria Luisa Frisa,x,MN,,,la moda,2-Dec,,05HN78qfziY,0qxLW42fVt0,approvato dall'intervistato,Blu/verde,Gioco fra i sessi ,18,Fashion curator,Totale libertà,14,0'24'',scena culturale,15,0'59'',,,moda;globale;cultura;diverso;femminile,,,img/thumbs/
18,2,Maria Luisa Frisa,x,MN,,,la moda,2-Dec,,ivqJOJKHmkc,J4uv9kSB6PE,approvato dall'intervistato,Rosso/giallo,Boutique enciclopedica,22,Fashion curator,Consultabile,12,0'32'',ci penserà il web,17,0'43'',,,moda;diverso;economia;digitale;rete,,,img/thumbs/
18,3,Maria Luisa Frisa,x,MN,,,la moda,2-Dec,,fDGDCnXM9ag,bQiw7xVg1YA,approvato dall'intervistato,Magenta/ciano,Lavorare made in Italy,22,Fashion curator,Sano disincanto,15,0'43'',simile agli artisti,19,0'52'',,,moda;Made in Italy;lavoro,,,img/thumbs/
19,1,Chiara Tonelli,x,MN,,,le biotecnologie,6-Dec,,XUwDg40yIA8,AiDXTTEMXb4,approvato dall'intervistato,Blu/verde,Opportunità biotech,19,Genetista,Qualità della vita,18,0'17'',alimenti più sicuri,19,"0'31""",farmaci innovativi,0'42'',bio;positivo;ricerca;sostenibile;salute;qualità della vita;cibo;scienza,,,img/thumbs/
19,2,Chiara Tonelli,x,MN,,,le biotecnologie,6-Dec,,_4mKFn9PtEw,y91BUDfDvps,approvato dall'intervistato,Rosso/giallo,Superpiante antifame,20,Genetista,Cibo per tutti,14,0'10'',Piante più resistenti,21,0'57'',,,cibo;sostenibile;povertà;scienza;ricerca;bio,,,img/thumbs/
